2025-12-28 14:54:00 | DEBUG   | atom.market:get_current_prices:29 | Fetching prices for 1 tickers: ['SBER']
2025-12-28 14:54:04 | DEBUG   | atom.market:get_current_prices:65 | Retrieved 1 prices
2025-12-28 14:54:04 | DEBUG   | atom.market:get_current_prices:29 | Fetching prices for 1 tickers: ['INVALID_TICKER_XYZ']
2025-12-28 14:54:06 | DEBUG   | atom.market:get_current_prices:65 | Retrieved 0 prices
2025-12-28 14:54:06 | DEBUG   | atom.market:get_current_prices:29 | Fetching prices for 3 tickers: ['SBER', 'GAZP', 'LKOH']
2025-12-28 14:54:09 | DEBUG   | atom.market:get_current_prices:65 | Retrieved 3 prices
2025-12-28 15:21:22 | INFO    | atom.api:startup_event:68 | 🚀 ATOM API Starting...
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:69 | Registered routes:
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /openapi.json (openapi)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /docs (custom_swagger_ui_html)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /redoc (redoc_html)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /test-docs (custom_docs)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → / (read_root)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (create_trade)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /trades/import (import_trades)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (read_trades)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /trades/export (export_trades)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (update_trade)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (delete_trade)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id}/close (close_trade)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /trades/unrealized-pnl (get_unrealized_pnl)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /stats/ (get_stats)
2025-12-28 15:21:22 | DEBUG   | atom.api:startup_event:71 |   → /db-check (check_db)
2025-12-28 15:27:11 | INFO    | atom.api:startup_event:68 | 🚀 ATOM API Starting...
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:69 | Registered routes:
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /openapi.json (openapi)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /docs (custom_swagger_ui_html)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /redoc (redoc_html)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /test-docs (custom_docs)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → / (read_root)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (create_trade)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/import (import_trades)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (read_trades)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/export (export_trades)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (update_trade)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (delete_trade)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id}/close (close_trade)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /trades/unrealized-pnl (get_unrealized_pnl)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /stats/ (get_stats)
2025-12-28 15:27:11 | DEBUG   | atom.api:startup_event:71 |   → /db-check (check_db)
2025-12-28 15:27:39 | INFO    | atom.api:startup_event:68 | 🚀 ATOM API Starting...
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:69 | Registered routes:
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /openapi.json (openapi)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /docs (custom_swagger_ui_html)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /redoc (redoc_html)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /test-docs (custom_docs)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → / (read_root)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (create_trade)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /trades/import (import_trades)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (read_trades)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /trades/export (export_trades)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (update_trade)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (delete_trade)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id}/close (close_trade)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /trades/unrealized-pnl (get_unrealized_pnl)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /stats/ (get_stats)
2025-12-28 15:27:39 | DEBUG   | atom.api:startup_event:71 |   → /db-check (check_db)
2025-12-28 15:27:56 | INFO    | atom.api:startup_event:68 | 🚀 ATOM API Starting...
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:69 | Registered routes:
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /openapi.json (openapi)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /docs (custom_swagger_ui_html)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /redoc (redoc_html)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /test-docs (custom_docs)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → / (read_root)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (create_trade)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/import (import_trades)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/ (read_trades)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/export (export_trades)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (update_trade)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id} (delete_trade)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/{trade_id}/close (close_trade)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /trades/unrealized-pnl (get_unrealized_pnl)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /stats/ (get_stats)
2025-12-28 15:27:56 | DEBUG   | atom.api:startup_event:71 |   → /db-check (check_db)
2025-12-28 15:28:11 | INFO    | atom.api:startup_event:68 | 🚀 ATOM API Starting...
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:69 | Registered routes:
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /openapi.json (openapi)
2025-12-28 15:28:11 | DEBUG   | atom.api:startup_event:71 |   → /docs (custom_swagger_ui_html)
